timelocal,month,month_indicator,month_weekday,flow,rotation,effect_pump_10,vibr_bear_as_x,vibr_bear_as_y,vibr_bear_bs_x,vibr_bear_bs_y,vibr_motor_x,vibr_motor_y,temp_winding_max
2020-10-28T16:44:44Z,Oct,5,2020-10-27T23:00:00Z,13102.727662597656,260.5645452141656,482.38207503051757,1.089361736898952,0.994728098848131,0.5543643075956238,0.5076892752316263,0.2066310734735595,0.2405403432554669,64.3599853515625
2020-10-28T16:46:14Z,Oct,5,2020-10-27T23:00:00Z,13209.031907682293,263.16923980373804,492.86155499742296,1.122710321990649,1.0722415231664975,0.5710746778037813,0.542601317822271,0.2133544328176313,0.252373390918639,64.3599853515625
2020-10-28T16:47:44Z,Oct,5,2020-10-27T23:00:00Z,13290.22931030816,265.1899676310221,505.9474118801541,1.121041688952181,1.0667608605994119,0.5774721153431469,0.5452020212219821,0.21729038904772865,0.25598966430889236,64.54786933220757
2020-10-28T16:49:14Z,Oct,5,2020-10-27T23:00:00Z,13387.473870084636,264.9645116373698,500.67795189412436,1.1284302531626489,1.0436094840221934,0.5775287612643507,0.5348137655874093,0.2130966805524296,0.24538107163541847,65.16682456732856
2020-10-28T16:50:44Z,Oct,5,2020-10-27T23:00:00Z,13498.425665766059,264.28710680474177,487.19682768351237,1.0963793391625087,1.0299076300634278,0.557362807574537,0.5193680088996887,0.20200821549627515,0.23273174581461484,65.27998352050781
2020-10-28T16:52:14Z,Oct,5,2020-10-27T23:00:00Z,13491.40482905816,263.6515177124023,486.52743163791234,1.1815644849008984,1.1717503043519126,0.6059811488244269,0.5868198026339213,0.2062528734323051,0.2482815304822392,65.27998352050781
2020-10-28T16:53:44Z,Oct,5,2020-10-27T23:00:00Z,13487.115983409289,263.19398982408313,480.8916862765842,1.127924285700586,1.080782065721353,0.5817521766066551,0.5499082411209743,0.1992334326148033,0.23751180344588227,65.27998352050781
2020-10-28T16:55:14Z,Oct,5,2020-10-27T23:00:00Z,13419.113267220053,262.65662584160697,482.6131840508355,1.1624559738291635,1.101152644428942,0.59315887003607215,0.5590052331354883,0.2030492078072495,0.239976010303696,65.2992769744873
2020-10-28T16:56:44Z,Oct,5,2020-10-27T23:00:00Z,13349.018267068142,260.8391881198459,472.98076581759983,1.147877261369758,1.0485229001892937,0.5827941636270947,0.5329053617106544,0.20086025963723658,0.22948981039391625,65.29998779296875
2020-10-28T16:58:14Z,Oct,5,2020-10-27T23:00:00Z,13165.581091536458,257.10524642266165,455.83113022121853,1.0725975591262182,1.0107536305427551,0.5394579638130135,0.5071158386892742,0.19207663888401455,0.21793972432745828,65.80483099195692
2020-10-28T16:59:44Z,Oct,5,2020-10-27T23:00:00Z,12954.536796126302,253.02244728936088,434.70056605834964,1.053537976735168,1.032039755141735,0.5356541759557194,0.522878512134817,0.18395153270132011,0.21355763708353043,66.24887424045139
